"","applicant","rater","rating"
"1",1,3,4.84954437003327
"2",1,4,6.92409268562966
"3",1,6,4.32926614522651
"4",2,1,7.71053182702483
"5",2,4,10
"6",2,6,7.55110426079262
"7",3,6,5.64308037240971
"8",3,8,7.39554353206959
"9",3,10,7.25379409081319
"10",4,2,8.92052479707731
"11",4,6,6.31119326869746
"12",4,7,3.55793879532257
"13",5,2,3.3383225318212
"14",5,4,5.23488106667455
"15",5,5,2.34544636799928
"16",6,4,5.26864536003766
"17",6,5,4.22807168922115
"18",6,10,5.15532756617858
"19",7,1,10
"20",7,3,7.70077268142144
"21",7,8,8.2872641272449
"22",8,3,2.7941014720314
"23",8,6,3.06379101862737
"24",8,9,5.93660137103882
"25",9,1,2.60065763828658
"26",9,3,1
"27",9,7,1
"28",10,4,10
"29",10,8,10
"30",10,9,10
"31",11,4,7.72281280526689
"32",11,9,7.24308365577699
"33",11,10,5.2129371236017
"34",12,2,6.06149097787569
"35",12,4,9.08664290921967
"36",12,5,6.49897582676572
"37",13,2,1.39542277919068
"38",13,3,1
"39",13,8,1.56377519320572
"40",14,1,9.87443227154478
"41",14,6,8.82487781728949
"42",14,8,9.89132766827092
"43",15,1,7.88147493275424
"44",15,7,1.68347319630344
"45",15,9,7.09720785732459
"46",16,4,8.09629380794653
"47",16,6,7.41494337903496
"48",16,7,2.83032237848843
"49",17,2,7.66711455125578
"50",17,7,1
"51",17,10,5.24306341203452
"52",18,5,2.36130638324619
"53",18,9,3.14873378286145
"54",18,10,1
"55",19,4,4.24018635765115
"56",19,6,1
"57",19,7,1
"58",20,5,3.82346824099303
"59",20,6,4.54359389193308
"60",20,9,6.30706661990289
"61",21,2,7.34438304057159
"62",21,6,5.90441159076371
"63",21,8,7.87399418503508
"64",22,1,8.23498594990535
"65",22,4,10
"66",22,7,4.02272335206999
"67",23,3,2.88331747955398
"68",23,4,4.95967208107006
"69",23,8,3.85161427557792
"70",24,1,9.45337093540855
"71",24,3,6.82446061929911
"72",24,9,10
"73",25,2,3.8057700518958
"74",25,8,2.31699789770671
"75",25,9,2.8249599054056
"76",26,4,7.15523948198275
"77",26,6,5.58569232951963
"78",26,8,6.49922384574248
"79",27,3,1
"80",27,4,4.9194415812789
"81",27,9,3.29320463191193
"82",28,2,2.60963585731432
"83",28,8,2.92975464098149
"84",28,10,2.09066362840827
"85",29,5,3.78579756299622
"86",29,9,5.87834050919764
"87",29,10,6.42883408876489
"88",30,1,7.91521236651832
"89",30,6,8.37228741732844
"90",30,9,10
"91",31,4,10
"92",31,9,10
"93",31,10,9.60715954531388
"94",32,3,1
"95",32,6,1.64540693535572
"96",32,10,2.15247121187081
"97",33,4,10
"98",33,7,7.74813756961568
"99",33,9,10
"100",34,2,8.65730593871942
"101",34,8,7.13286038303329
"102",34,10,7.46566321616915
"103",35,5,3.89529756470507
"104",35,9,8.02615572418871
"105",35,10,5.45685528883789
"106",36,2,6.97678750212245
"107",36,6,5.13297953840622
"108",36,9,7.14105938278478
"109",37,1,4.88132229495375
"110",37,7,1
"111",37,9,5.33568290873157
"112",38,1,1
"113",38,5,1
"114",38,7,1
"115",39,4,4.17621976911514
"116",39,5,1
"117",39,9,3.94116173229747
"118",40,2,1.12801634551807
"119",40,3,1
"120",40,9,3.98277792878342
"121",41,2,6.71557029813905
"122",41,3,6.89826518701906
"123",41,10,8.78942634565502
"124",42,1,8.80730010510605
"125",42,5,5.81592091154974
"126",42,9,7.8239020125359
"127",43,3,6.84091389145871
"128",43,8,8.10816474236824
"129",43,10,9.56185583516013
"130",44,3,6.2951349300297
"131",44,9,9.72033286827576
"132",44,10,6.94596840389006
"133",45,4,6.10178223957928
"134",45,5,6.14589349398101
"135",45,8,6.79976819687761
"136",46,5,1
"137",46,6,2.34124624014755
"138",46,7,1
"139",47,1,9.06011496450649
"140",47,5,8.91984531585618
"141",47,8,10
"142",48,5,7.87769033092646
"143",48,9,10
"144",48,10,6.75849871286813
"145",49,4,4.89795982221667
"146",49,7,1
"147",49,10,1.91954050520203
"148",50,5,4.37446066552706
"149",50,7,3.24331710381078
"150",50,9,7.52888760730255
"151",51,1,1.5883392447387
"152",51,2,3.10249001135002
"153",51,9,2.1246103769075
"154",52,3,1
"155",52,6,1.8800049887157
"156",52,9,4.10688410816735
"157",53,5,6.27120547747678
"158",53,7,2.77277235928293
"159",53,9,9.02401282917856
"160",54,2,4.20018792036463
"161",54,3,1.17047110792457
"162",54,5,2.6121272166667
"163",55,1,3.54661290451052
"164",55,5,2.55078788821638
"165",55,9,5.18367152070243
"166",56,4,4.2411251771999
"167",56,7,1
"168",56,8,1
"169",57,3,3.62796697510513
"170",57,7,1
"171",57,10,5.93383538801881
"172",58,3,5.92772733225669
"173",58,5,8.5151929946343
"174",58,10,9.78987038254755
"175",59,6,4.0311507306453
"176",59,7,1
"177",59,10,4.72464054289391
"178",60,3,5.91997210743853
"179",60,4,10
"180",60,9,10
"181",61,1,1.06515223646919
"182",61,6,2.44713225960205
"183",61,8,3.94891492981027
"184",62,1,10
"185",62,2,10
"186",62,8,9.29957250044049
"187",63,4,10
"188",63,5,9.79873289659299
"189",63,9,10
"190",64,1,3.20153050750981
"191",64,6,1
"192",64,9,3.08250220721948
"193",65,1,6.43550681645879
"194",65,2,7.70841158860167
"195",65,4,8.26875183200472
"196",66,1,3.54166186281795
"197",66,5,3.06313805461948
"198",66,7,1
"199",67,3,1
"200",67,4,2.78352056889247
"201",67,7,1
"202",68,2,3.41873167466071
"203",68,4,4.33920817745827
"204",68,7,1
"205",69,1,10
"206",69,2,9.81891413750518
"207",69,8,9.9905250585923
"208",70,4,8.3200495166121
"209",70,6,4.07951508986993
"210",70,10,5.12978222318235
"211",71,1,5.01948420350338
"212",71,2,6.53810649004851
"213",71,3,2.00470323131716
"214",72,3,5.46591407712566
"215",72,5,5.09916842552801
"216",72,10,7.13719980385795
"217",73,4,6.08637779377493
"218",73,5,2.29333091781645
"219",73,10,2.98641881461869
"220",74,2,10
"221",74,7,4.60763108847297
"222",74,10,6.53595715502235
"223",75,2,10
"224",75,3,6.90101442408266
"225",75,8,8.77152797453702
"226",76,1,6.2167465868649
"227",76,3,1.84324777226532
"228",76,5,4.94145480160459
"229",77,3,1.73230478021162
"230",77,5,2.68026446181814
"231",77,7,1.38879156333608
"232",78,1,3.616884924651
"233",78,4,6.82333890812925
"234",78,7,1.98788948722355
"235",79,1,6.94912189604214
"236",79,3,6.13543486481856
"237",79,5,5.15985228301177
"238",80,3,2.0006841547601
"239",80,8,5.17876941001186
"240",80,10,4.73609517225021
"241",81,3,3.62723846436442
"242",81,7,4.58552769324081
"243",81,8,7.292667491707
"244",82,1,3.45894644112387
"245",82,5,3.77660706088076
"246",82,10,1.68301452973557
"247",83,1,6.63504716393999
"248",83,6,4.35990412338063
"249",83,10,4.62907793506644
"250",84,1,1
"251",84,2,1.61138525217405
"252",84,3,1
"253",85,7,1.50199877957347
"254",85,8,6.85354361284569
"255",85,10,6.6192345254426
"256",86,3,4.79262914346816
"257",86,7,6.51358094034584
"258",86,10,9.09620716517473
"259",87,1,1.56684234123205
"260",87,7,1
"261",87,10,2.28704103668863
"262",88,5,7.86176655173097
"263",88,6,7.93892910301212
"264",88,7,5.8646831717735
"265",89,6,6.0451751445812
"266",89,7,3.06419269481787
"267",89,10,7.54153125410923
"268",90,5,7.19148693801921
"269",90,7,5.63108334253937
"270",90,8,9.72284595282149
"271",91,2,4.18785179049823
"272",91,5,1.6547619198019
"273",91,6,3.01027286916242
"274",92,1,4.40736365855291
"275",92,2,3.5346459079892
"276",92,8,3.67595977874185
"277",93,2,5.22269631126017
"278",93,4,5.09644351529009
"279",93,8,4.48561427861671
"280",94,1,3.31229807432134
"281",94,4,3.86499900483
"282",94,6,2.62502592297894
"283",95,2,8.17535456970711
"284",95,4,10
"285",95,8,7.84751164945939
"286",96,2,5.41204055980337
"287",96,6,2.94938369089455
"288",96,8,5.17167530906125
"289",97,2,5.93149693599086
"290",97,6,5.59794022303214
"291",97,8,5.50037490611333
"292",98,2,6.55512550533479
"293",98,6,6.24407062298242
"294",98,8,7.24548213758082
"295",99,2,5.06431850135717
"296",99,6,3.66045483053236
"297",99,8,5.11463034352247
"298",100,3,2.86350812053004
"299",100,6,4.15896213295392
"300",100,9,9.98579192078928
